ref,title,year,source,selection_criteria,status,display,input,interaction,collaboration,model,size,doi
,Sharing and building digital group histories,2002,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Pen,Tangibility,Colaboração presencial,,,10.1145/587078.587124
,Visualization techniques for circular tabletop interfaces,2002,Scopus,Study describing digital tabletop techniques,Accepted,Front-Projected,"Pen, Sound-Based",Tangibility,Colaboração presencial,,,10.1145/1556262.1556305
,UbiTable: Impromptu face-to-face collaboration on horizontal interactive surfaces,2003,Scopus,Study describing digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/978-3-540-39653-6_22
,Personal digital historian: story sharing around the table,2003,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/637848.637856
,Visualization and User-Modeling for Browsing Personal Photo Libraries,2004,Springer Link,Study describing digital tabletop techniques,Accepted,Front-Projected,Pen,Tangibility,Colaboração presencial,,,10.1023/b:visi.0000004834.62090.74
,Individual audio channels with single display groupware: effects on communication and task strategy,2004,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1031607.1031646
,Exploring the effects of group size and table size on interactions with tabletop shared-display groupware,2004,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1031607.1031654
,DiamondSpin: An extensible toolkit for around-the-table interaction,2004,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/985692.985714
,Read-It: five-to-seven-year-old children learn to read in a tabletop environment,2004,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,Visual Interaction Platform (VIP),,10.1145/1017833.1017843
,"StorySpace: technology supporting reflection, expression, and discourse in classroom narrative",2004,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,,10.1109/MCG.2004.1274055
,Collaborating around vertical and horizontal large interactive displays: which way is best?,2004,Science@Direct,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,"Pen, Sensor-Assisted-Vision-Based",Tangibility,Colaboração presencial,,44.5”,10.1016/j.intcom.2004.07.008
,pOwerball: the design of a novel mixed-reality game for children with mixed abilities,2005,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,,10.1145/1109540.1109545
,Under My Finger: Human Factors in Pushing and Rotating Documents Across the Table,2005,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/11555261_88
,Experimental Findings on Collaborative Interactions in a Co-Located Environment,2005,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/ICITA.2005.136
,Fluid integration of rotation and translation,2005,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,"Rear-Projected, Front-Projected",Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board + Top projected,,10.1145/1054972.1055055
,An environment for collaborative iteration planning,2005,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Sensor-Assisted-Vision-Based, Vision-Based",Touch,Colaboração presencial,,,10.1109/ADC.2005.12
,StoryGrid: a tangible interface for student expression,2005,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,,10.1145/1056808.1056993
,Localisation and Interaction for Augmented Maps,2005,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1109/ISMAR.2005.39
