bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,Interfering and resolving: How tabletop interaction facilitates co-construction of argumentative knowledge,"Pontual Falcão, Taciana and Price, Sara",International Journal of Computer-Supported Collaborative Learning,2010,Springer Link,539–559,6,None,,10.1007/s11412-010-9101-9,http://dx.doi.org/10.1007/s11412-010-9101-9,,,,Springer Science and Business Media LLC,1556-1615,,,Study describing digital tabletop techniques,45770.6538078704,45799.5969444444,gmfreitas,gmfreitas,Accepted,
,“Whoa! We’re going deep in the trees!”: Patterns of collaboration around an interactive information visualization exhibit,"Davis, Pryce and Horn, Michael and Block, Florian and Phillips, Brenda and Evans, E. Margaret and Diamond, Judy and Shen, Chia",International Journal of Computer-Supported Collaborative Learning,2015,Springer Link,53–76,10,None,,10.1007/s11412-015-9209-z,http://dx.doi.org/10.1007/s11412-015-9209-z,,,,Springer Science and Business Media LLC,1556-1615,,,Articles that omits the tabletop technique,45770.6537962963,45797.5281712963,gmfreitas,gmfreitas,Rejected,
,Tangible Map: Designing and Assessing Spatial Information Retrieval Through a Tactile Interface,"Leon, Kimberly and Walker, Will and Lim, Yihyun and Penman, Scott and Colombo, Sara and Casalegno, Federico",,2019,Springer Link,329–340,,None,,10.1007/978-3-030-22636-7_24,http://dx.doi.org/10.1007/978-3-030-22636-7_24,,,,Springer International Publishing,1611-3349,,,Study describing digital tabletop techniques,45770.6537962963,45796.7423611111,gmfreitas,gmfreitas,Accepted,
,Supporting casual interactions between board games on public tabletop displays and mobile devices,"Echtler, Florian and Nestler, Simon and Dippon, Andreas and Klinker, Gudrun",Personal and Ubiquitous Computing,2009,Scopus,609 – 617,13,"As more interactive surfaces enter public life, casual interactions from passersby are bound to increase. Most of these users can be expected to carry a mobile phone or PDA, which nowadays offers significant computing capabilities of its own. This offers new possibilities for interaction between these users' private displays and large public ones. In this paper, we present a system that supports such casual interactions. We first explore a method to track mobile phones that are placed on a horizontal interactive surface by examining the shadows which are cast on the surface. This approach detects the presence of a mobile device, as opposed to any other opaque object, through the signal strength emitted by the built-in Bluetooth transceiver without requiring any modifications to the devices' software or hardware. We then go on to investigate interaction between a Sudoku game running in parallel on the public display and on mobile devices carried by passing users. Mobile users can join a running game by placing their devices on a designated area. The only requirement is that the device is in discoverable Bluetooth mode. After a specific device has been recognized, a client software is sent to the device which then enables the user to interact with the running game. Finally, we explore the results of a study which we conducted to determine the effectiveness and intrusiveness of interactions between users on the tabletop and users with mobile devices. © Springer-Verlag London Limited 2009.",Conference paper,10.1007/s00779-009-0246-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349992955&doi=10.1007%2fs00779-009-0246-3&partnerID=40&md5=2dcb0ca04b61d699a57710d8139c2cc4,,,,,,,Cited by: 25,Study describing digital tabletop techniques,45770.6341087963,45795.7981597222,gmfreitas,gmfreitas,Accepted,
,Storage bins: Mobile storage for collaborative tabletop displays,"Scott, Stacey D. and Carpendale, M. Sheelagh T. and Habelski, Stefan",IEEE Computer Graphics and Applications,2005,Scopus,58 – 65,25,"To facilitate storage behavior in a digital tabletop workspace, the storage bin mobile storage mechanism was developed which combines the space-preserving feature of existing peripheral storage mechanisms with the capability to relocate stored items in the workspace. An exploratory user study was conducted to investigate the usability of storage bins, gather design information, and understand the advantages and disadvantages of mobile and peripheral storage mechanisms. Six pairs of university students performed a collaborative photo layout task on the digital tabletop, containing either storage bins or a peripheral storage area that spanned the perimeter of the tabletop workspace. Results suggest that interface tools like storage bins must be flexible enough to support the evolving needs of a group task, and that tabletop interfaces must support the numerous individual and collaborative approaches used to complete a group task.",Article,10.1109/MCG.2005.86,https://www.scopus.com/inward/record.uri?eid=2-s2.0-22944431827&doi=10.1109%2fMCG.2005.86&partnerID=40&md5=5883338a81e095066f913d1d52578065,,,,,,,"Cited by: 42; All Open Access, Green Open Access",Study describing digital tabletop application that mentions the hardware used,45770.6340972222,45795.7951041667,gmfreitas,gmfreitas,Accepted,
,Believable interaction with a quasi-tangible tabletop interface,"Lee, Jangho and Lee, Jun and Kim, HyungSeok and Kim, Jee-In",Computer Animation and Virtual Worlds,2007,Scopus,121 – 132,18,"In this paper, we present a believable interaction mechanism for manipulation multiple objects in ubiquitous/augmented virtual environment. A believable interaction in multimodal framework is defined as a persistent and consistent process according to contextual experiences and common-senses on the feedbacks. We present a tabletop interface as a quasi-tangible framework to provide believable processes. An enhanced tabletop interface is designed to support multimodal environment. As an exemplar task, we applied the concept to fast accessing and manipulating distant objects. A set of enhanced manipulation mechanisms is presented for remote manipulations including inertial widgets, transformable tabletop, and proxies. The proposed method is evaluated in both performance and user acceptability in comparison with previous approaches. The proposed technique uses intuitive hand gestures and provides higher level of believability. It can also support other types of accessing techniques such as browsing and manipulation. Copyright © 2007 John Wiley & Sons, Ltd.",Article,10.1002/cav.167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248578416&doi=10.1002%2fcav.167&partnerID=40&md5=b2f1ce047aeda2ab46e494122f4ea28b,,,,,,,Cited by: 4,Study evaluating digital tabletop techniques,45770.6340972222,45795.7744444445,gmfreitas,gmfreitas,Accepted,
,Tables in the wild: Lessons learned from a large-scale multi-tabletop deployment,"Kharrufa, Ahmed and Balaam, Madeline and Heslop, Phil and Leat, David and Dolan, Paul and Olivier, Patrick",Conference on Human Factors in Computing Systems - Proceedings,2013,Scopus,1021 – 1030,,"This paper presents the results and experiences of a six-week deployment of multiple digital tabletops in a school. Dillenbourg's orchestration framework was used both to guide the design and analysis of the study. Four themes, which directly relate to the design of the technology for the classroom, out of the 15 orchestration factors are considered. For each theme, we present our design choices, the relevant observations, feedback from teachers and students, and we conclude with a number of lessons learned in the form of design recommendations. The distinguishing factors of our study are its scale (in terms of duration, number of classes, subjects, and teachers), and its 'in-the-wild'character, with the entire study being conducted in a school, led by the teachers, and using teacher-prepared, curriculum-based tasks. Our primary contributions are the analysis of our observations and design recommendations for future multi-tabletop applications designed for and deployed within the classroom. Our analyses and recommendations meaningfully extend HCI's current design understandings of such settings. Copyright © 2013 ACM.",Conference paper,10.1145/2470654.2466130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877985600&doi=10.1145%2f2470654.2466130&partnerID=40&md5=a534db1a11366e8beb89143360b9a13a,,,,,,,Cited by: 31,Study evaluating digital tabletop techniques,45770.6340972222,45793.8800925926,gmfreitas,gmfreitas,Accepted,SMART tables
,Poster: Overtop: Breaking the boundaries of tangible tabletop environments,"Riemann, Jan and Funk, Markus and Schmitz, Martin and Meurisch, Christian and Mühlhäuser, Max",UbiComp/ISWC 2018 - Adjunct Proceedings of the 2018 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2018 ACM International Symposium on Wearable Computers,2018,Scopus,231 – 234,,"Tabletop computers have been set out to change the way people work by providing a display on the table surface. Still they're only flat displays with digital content behind a glass screen. Tangibles extended the interface into the third dimension. However, the content still sticks mostly to the screen or is projected onto rigid objects. In this work, we present OverTop, a concept for providing a full three-dimensional interaction experience for both content and interface. We introduce three different layers, where both content and interfaces can be presented: Below, On, and Above. Using these three layers, OverTop extends the design space of tabletop interfaces to the area above traditional tabletop workplaces, opening up new interaction and visualization possibilities. © Copyright held by the owner/author(s).",Conference paper,10.1145/3267305.3267559,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058294432&doi=10.1145%2f3267305.3267559&partnerID=40&md5=2edff9deb9e419eda36611779e3bd488,,,,,,,Cited by: 3,Study describing digital tabletop techniques,45770.6340972222,45793.7987962963,gmfreitas,gmfreitas,Accepted,
,StoryCrate: Tabletop storyboarding for live film production,"Bartindale, Tom and Sheikh, Alia and Taylor, Nick and Wright, Peter and Olivier, Patrick",Conference on Human Factors in Computing Systems - Proceedings,2012,Scopus,169 – 178,,"Creating film content for broadcast is a high pressure and complex activity involving multiple experts and highly specialized equipment. Production teams are under continuous pressure to produce ever more creative and groundbreaking content while reducing the budgets and human resources required. While technologies are being developed for digitizing and streamlining sections of the production workflow, a gap remains between creative decisions made on location, and those made during digital editing and post-production. We describe a prototype tangible, tabletop interface to be deployed on a film shoot, which uses a storyboard as a shared data representation to drive team creativity. We define creativity in terms of team production, discuss our implementation and describe a deployment in which the prototype was used by a professional production team during a film shoot. Finally we describe a number of interesting interactions that were observed and consider the implications of our design decisions on the creative process of film making and the benefits of tangible, tabletop collaborative interactive displays in live film production. Copyright 2012 ACM.",Conference paper,10.1145/2207676.2207700,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862095031&doi=10.1145%2f2207676.2207700&partnerID=40&md5=a44125c6a203c8889c4b62a97ff1bffb,,,,,,,Cited by: 11,Study describing digital tabletop techniques,45770.6340856482,45793.7690277778,gmfreitas,gmfreitas,Accepted,
,Investigating one-handed and two-handed inter-device interaction,Zheng Huang and Jed Limke and Jun Kong,Journal of Visual Languages & Computing,2017,Science@Direct,1-12,42,"Using a mobile device together with a large shared screen supports collaborative tasks and potentially prevents interference among users. In order to evaluate the usability of inter-device interaction, this paper compared two fundamental inter-device interaction styles, i.e., one-handed and two-handed interaction. The one-handed interaction style only uses one hand to select an object from a large display device while the two-handed interaction style needs the cooperation of two hands to realize a selection. A framework was developed to implement these two interaction styles. Based on the framework, a pretest-posttest, repeated-measures study was conducted to compare their differences. All participants went through eight tasks, which were differentiated by both the selection order (sequential or random order) and the density level (sparse or dense layout), using both interaction styles. During the study, both the completion time and the error rate in each task with each interaction style were recorded. In addition, the IBM Post-Study Usability Questionnaire (PSSUQ) was used to evaluate the subjective satisfaction on each interaction style. The overall PSSUQ score indicates that both interaction styles receive positive feedback with high user satisfaction. The study also revealed that the one-handed interaction took less time to complete tasks (i.e., more efficient) than the two-handed interaction, while the two-handed interaction style had a lower error rate than the one-handed interaction, and especially so in a dense layout.",,https://doi.org/10.1016/j.jvlc.2017.07.001,https://www.sciencedirect.com/science/article/pii/S1045926X17300307,,,,,1045-926X,,,Study describing digital tabletop application that mentions the hardware used,45770.6323611111,45793.6049189815,gmfreitas,gmfreitas,Accepted,
