article,Ano,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa
Touchers and mousers: commonalities and differences in co-located collaboration with multiple input devices,2008,Embutido,Sensor infravermelho,Touch,Colaboração presencial,[braccetto] research platform,46’’
Investigating Temporal-Spatial Characteristics of Mouse and Touch Input,2009,Embutido,Sensor infravermelho,Touch,Colaboração presencial,[braccetto] research platform,46’’
Hxi: research down under in distributed intense collaboration between teams,2008,Embutido,Sensor infravermelho,Touch,Colaboração presencial,[braccetto] research platform,46’’
Exploratory study on concurrent interaction in co-located collaboration,2007,Embutido,Sensor infravermelho,Touch,Colaboração presencial,[braccetto] research platform,46’’
Interacting with mouse and touch devices on horizontal interactive displays,2012,Embutido,Sensor infravermelho,Touch,Colaboração presencial,[braccetto] research platform,46’’
Sea of Genes: A Reflection on Visualising Metagenomic Data for Museums,2020,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,3M 65” touch-table,"65"""
Engaging families around museum exhibits: Comparing tangible and multi-touch interfaces,2020,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,3M™ Multi-Touch Display,46’’
BacPack for New Frontiers: A Tangible Tabletop Museum Exhibit Exploring Synthetic Biology,2016,Embutido,"Sensor infravermelho, Tokens tangíveis","Multi-touch, Tangibility",Colaboração presencial,55” Multitaction Cell,55”
BacPack: Exploring the Role of Tangibles in a Museum Exhibit for Bio-Design,2017,Embutido,"Sensor infravermelho, Tokens tangíveis","Multi-touch, Tangibility",Colaboração presencial,55” MultiTaction Cell,55”
Shared Design Space: Sketching Ideas Using Digital Pens and a Large Augmented Tabletop Setup,2006,Projetor superior,"Caneta, Sensor infravermelho",Tangibility,Colaboração presencial,Anoto pens,
TMAR: Extension of a Tabletop Interface Using Mobile Augmented Reality,2008,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,ARTable,
Hyperinteractive Evolutionary Computation,2011,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,Asus Eee Top,
A Tabletop Interface Using Controllable Transparency Glass for Collaborative Card-Based Creative Activity,2008,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,AwareTable,
Understanding flicking on curved surfaces,2012,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Usuário único,BendDesk,42”
Enabling interaction with single user applications through speech and gestures on a multi-user tabletop,2005,Projetor superior,"Ondas sonoras, Toque","Gesture, Multi-touch, Speech, Touch",Colaboração presencial,Diamond Touch + Gesture + Speech,42”
Exploring true multi-user multimodal interaction over a digital table,2008,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Development of Communication Support System at Mealtimes Using Tabletop Interface,2013,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Dimensions of collaboration on a tabletop interface for children with autism spectrum disorder,2011,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Analysis of natural gestures for controlling robot teams on multi-touch tabletop surfaces,2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Tabletop sharing of digital photographs for the elderly,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Collaboration and interference: awareness with mice or touch input,2008,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Arrange-A-Space: tabletop interfaces and gender collaboration,2011,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Co-narrating a conflict: An interactive tabletop to facilitate attitudinal shifts,2012,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
