title,ano,source,selection_criteria,status,comments,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa
"""Dinner Party"" sociable interfaces in a tabletop art project",2011.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Tangibility,Usuário único,,
3D Tabletop User Interface Using Virtual Elastic Objects,2014.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Pure-Vision-Based,Gesture,Usuário único,,
3D Tabletop User Interface with High Synchronization Accuracy using a High-speed Stereo Camera,2015.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,Pure-Vision-Based,Multi-touch,Usuário único,,
A 2D-3D integrated tabletop environment for multi-user collaboration,2007.0,Scopus,Study describing digital tabletop techniques,Accepted,,"Rear-Projected, Front-Projected","Tangible-Tokens, Wearables",Tangibility,Colaboração presencial,,
A Collaborative Spatial Decision Support System for the Capacitated Vehicle Routing Problem on a Tabletop Display,2015.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,,
A Comparative Study on Inter-Device Interaction: One-Handed Interaction VS Two-Handed Interaction,2016.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,"Embedded, Multi-Device","Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40 + Mobile,40”
A Design Model for Tangible Interaction: Case Study in Waste Sorting,2016.0,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Tangible-Tokens,Tangibility,Colaboração presencial,TangiSense,42.5”
A Glasses-Based Holographic Tabletop for Collaborative Monitoring of Aerial Missions,2020.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Headset,Sensor-Assisted-Vision-Based,Gesture,Usuário único,Microsoft HoloLens,
A Multi-Agent System Approach for Interactive Table Using RFID,2010.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility",Colaboração presencial,TTT (Tangible Tracking Table),
A Novel Workbench for Collaboratively Constructing 3D Virtual Environment,2018.0,Science@Direct,Study describing digital tabletop techniques,Accepted,,"Embedded, Multi-Device, Rear-Projected",Electrical-Based,Multi-touch,Colaboração presencial,,
A Resilient Interaction Concept for Process Management on Tabletops for Cyber-Physical Systems,2014.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
A Steerable Tangible Interface and Its Evaluation,2010.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,u-Table,59”
A Table-Top Interface for Real-Time Coaching in Abacus Learning,2024.0,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Usuário único,,
A Tabletop Board Game Interface for Multi-user Interaction with a Storytelling System,2012.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,"The multi-touch table used in this research makes use of an ordinary video
projector, non-diffuse IR-beams, and an average webcam",Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,,
A Tabletop Interface Using Controllable Transparency Glass for Collaborative Card-Based Creative Activity,2008.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,AwareTable,
A Tabletop-Based Real-World-Oriented Interface,2011.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Front-Projected,Sensor-Assisted-Vision-Based,Touch,Usuário único,,
A Toolkit for Prototyping Tabletop-Centric Cross-Device Interaction,2020.0,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Embedded, Multi-Device","Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40 + Mobile,40”
A co-located interface for narration to support reconciliation in a conflict: initial results from Jewish and Palestinian youth,2008.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
A collaborative design graphical tool based on Interactive Spaces and Natural Interfaces: A case study on an international design project,2014.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility",Colaboração remota,,55”
A collaborative environment for engaging novices in scientific inquiry,2012.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft Surface,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
A constraint-based understanding of design spaces,2014.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Rear-Projected, Front-Projected",Tangible-Tokens,Tangibility,Colaboração presencial,,
A framework for bimanual inter-device interactions,2014.0,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
A large effective touchscreen using a head-mounted projector,2018.0,Scopus,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Sensor-Assisted-Vision-Based,Touch,Usuário único,,
A low-cost infrastructure for tabletop games,2008.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,
A multimodal approach to examining 'embodiment' in tangible learning environments,2013.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,
A single-user tabletop card game system for older persons: General lessons learned from an in-situ study,2008.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,Touch,Usuário único,,19”
A slim and wide multi-touch tabletop interface and its applications,2014.0,Scopus,Study describing digital tabletop techniques,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,
A slim hybrid multi-touch tabletop interface with a high definition LED display and multiple cameras,2012.0,Scopus,Study describing digital tabletop techniques,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,"47"""
A slim tabletop interface based on high resolution LCD screens with multiple cameras,2010.0,Scopus,Study describing digital tabletop techniques,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,
A system to recommend dishes by the real time recognition of dining activity,2010.0,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Usuário único,,
A tangible user interface for assessing cognitive mapping ability,2009.0,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Usuário único,,
A-CUBE: A Tangible Tabletop Application to Support Safe and Independent Chemistry Experiments,2010.0,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Usuário único,,
AGORAS: Exploring Creative Learning on Tangible User Interfaces,2011.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted, Microsoft Surface,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,,
AQUARIA: Assistive Querying in Augmented Reality for Interactive Analytics,2024.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Embedded, Headset","Electrical-Based, Pure-Vision-Based, Tangible-Tokens","Gesture, Multi-touch, Tangibility",Colaboração presencial,,
AR Tabletop Interface Using an Optical See-Through HMD,2016.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Headset,Sensor-Assisted-Vision-Based,Multi-touch,Usuário único,,
AR Tabletop Interface using a Head-Mounted Projector,2017.0,Scopus,Study describing digital tabletop techniques,Accepted,,Front-Projected,Sensor-Assisted-Vision-Based,Touch,Usuário único,,
ART-Chess: A Tangible Augmented Reality Chess on Tabletop,2015.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Embedded, Headset","Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40 + Headset,40”
ARmy: A study of multi-user interaction in spatially augmented games,2012.0,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,Pure-Vision-Based,Tangibility,Colaboração presencial,,
Actions speak loudly with words: Unpacking collaboration around the table,2009.0,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,DiamondTouch,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Active Pathways: Using Active Tangibles and Interactive Tabletops for Collaborative Modeling in Systems Biology,2016.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,,53”
Adaptive personal territories for co-located tabletop interaction in a museum setting,2011.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,"65"""
Affordances for manipulation of physical versus digital media on interactive surfaces,2007.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,Pure-Vision-Based,"Gesture, Multi-touch",Colaboração presencial,,30”
Affording embodied cognition through touchscreen and above-the-surface gestures during collaborative tabletop science learning,2021.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft Surface (Samsung SUR40) touch table,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Alerting Accidents with Ambiguity: A Tangible Tabletop Application for Safe and Independent Chemistry Experiments,2010.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Usuário único,,
An Immersive Motion Interface with Edutainment Contents for Elderly People,2008.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,u-Table,59”
An Investigation on a Suitable Information Structure of a Museum Environment for Large Display,2018.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft SUR40 ,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
An asymmetric collaborative system for architectural-scale space design,2018.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,Flatfrog Multitouch 3200,"32"""
An environment for collaborative iteration planning,2005.0,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,,
An exploratory study of co-located collaborative visual analytics around a tabletop display,2010.0,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,Microsoft Surface,30”
An interaction on a flat panel display using a planar 1-DOF electrostatic actuator,2011.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,Tangible-Tokens,Tangibility,Usuário único,,
Analysing Tabletop Based Computer Supported Collaborative Learning Data through Visualization,2011.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Pen,Tangibility,Colaboração presencial,Promethean ActivBoard,
Analysing engaging experiences with a tangible 3D tabletop,2014.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,"Rear-Projected, Front-Projected",Pure-Vision-Based,Tangibility,Colaboração presencial,,
Analysing the effect of tangibile user interfaces on spatial memory,2017.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Analysis of natural gestures for controlling robot teams on multi-touch tabletop surfaces,2009.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Analyzing Multimodal Communication around a Shared Tabletop Display,2009.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
"Are tangibles more fun? comparing children's enjoyment and engagement using physical, graphical and tangible user interfaces",2008.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,,,,,,
Around the table: are multiple-touch surfaces better than single-touch for children's collaborative interactions?,2009.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
