title,year,source,selection_criteria,status,comments
Storage bins: Mobile storage for collaborative tabletop displays,2005,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Investigating one-handed and two-handed inter-device interaction,2017,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
How do interactive tabletop systems influence collaboration?,2012,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
Implementation and evaluations of vision-based finger flicking gesture recognition for tabletops,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Sea of Genes: A Reflection on Visualising Metagenomic Data for Museums,2021,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Tabletop File System Access: Associative and Hierarchical Approaches,2007,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
"The living-room: browsing, organizing and presenting digital image collections in interactive environments",2007,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Co-located Collaborative Block-Based Programming,2019,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Uplift: A Tangible and Immersive Tabletop System for Casual Collaborative Visual Analytics,2021,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Management of distributed collaborative learning environments based on a concept map paradigm and natural interfaces,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Design Strategies for Collaborative Learning in Tangible Tabletops: Positive Interdependence and Reflective Pauses,2021,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft PixelSense
Tangible Interaction and Teacher Education: Creating Resources for Students with Different Communication Processes,2019,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
[DEMO] Exploring multimodal interaction techniques for a mixed reality digital surface,2014,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Exploring Narrative Gestures on Digital Surfaces,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Multimodal multiplayer tabletop gaming,2007,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Collaborative simulation interface for planning disaster measures,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
TeamTag: exploring centralized versus replicated controls for co-located tabletop groupware,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Task Assignment and Visualization on Tabletops and Smartphones,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Tabletop concept mapping,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Interactive audio-tactile maps for visually impaired people,2015,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
"Lessons learned from the WILD room, a multisurface interactive environment",2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Tabletop displays for small group study: affordances of paper and digital materials,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
SkyHunter: a multi-surface environment for supporting oil and gas exploration,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Enabling interaction with single user applications through speech and gestures on a multi-user tabletop,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Raptor: sketching games with a tabletop computer,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Occlusion-aware interaction techniques for tabletop systems,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Interaction techniques for the analysis of complex data on high-resolution displays,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
GSI demo: multiuser gesture/speech interaction over digital tables by wrapping single user applications,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
WebSurface: an interface for co-located collaborative information gathering,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Combining and measuring the benefits of bimanual pen and direct-touch interaction on horizontal interfaces,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Supporting air traffic control collaboration with a TableTop system,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Evaluating the effects of fluid interface components on tabletop collaboration,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Gestures by Children and Adults on Touch Tables and Touch Walls in a Public Science Center,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Real-time algorithmic composition with a tabletop musical interface: a first prototype and performance,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Design Interactions in ?elәwkw: Belongings,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Eye-Tracking in Educational Multi-Touch Games: Design-Based (interaction) research and great visions,2020,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Futura: design for collaborative learning and game play on a multi-touch digital tabletop,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Introducing the Smart City to Children with a Tangible Interaction Table: Expliquer la ville intelligente aux enfants avec une table d’interaction tangible,2022,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Investigating menu discoverability on a digital tabletop in a public setting,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
AQUARIA: Assistive Querying in Augmented Reality for Interactive Analytics,2024,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Instruction pictograms for experience-based displays and their use cases,2022,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
Pen-based Interaction with Spreadsheets in Mobile Virtual Reality,2020,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
E-DUB-A: A Tangible Educational Resource Editor in Inclusive Classes,2019,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Soccer tactics analysis supporting system displaying the player's actions in virtual space,2014,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
MoClo planner: Interactive visualization for Modular Cloning bio-design,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Hand gesture recognition using contour based method for tabletop surfaces,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
"The conceptual framing, design and evaluation of device ecologies for collaborative activities",2012,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft Surface
AGORAS: Exploring Creative Learning on Tangible User Interfaces,2011,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted, Microsoft Surface
Various tangible devices suitable for mixed reality interactions,2010,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Designing social games for children and older adults: Two related case studies,2010,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
Tisch digital tools supporting board games,2012,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
An exploratory study of co-located collaborative visual analytics around a tabletop display,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Toward emotional interactive videogames for children with autism spectrum disorder,2020,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
An Investigation on a Suitable Information Structure of a Museum Environment for Large Display,2018,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft SUR40 
Interactive multi-user video retrieval systems,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Fostering AI Literacy with Embodiment Creativity: From Activity Boxes to Museum Exhibits,2023,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Ideum tangible touchscreen tabletop
Feedback and Guidance to Support Children with Intellectual Disabilities in Discovery Learning with a Tangible Interactive Tabletop,2018,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Tangible Awareness: How Tangibles on Tabletops Influence Awareness of Each Other's Actions,2018,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Experience and Ownership with a Tangible Computational Music Installation for Informal Learning,2017,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
UD Co-Spaces: A Table-Centred Multi-Display Environment for Public Engagement in Urban Design Charrettes,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Physiopucks: Increasing User Motivation by Combining Tangible and Implicit Physiological Interaction,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
"Combining Mobile, Tangible and Virtual World Platforms to Support Participatory Campus Planning",2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Using a tangible interactive tabletop to learn at school: empirical studies in the wild,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Surface Ghosts: Promoting Awareness of Transferred Objects during Pick-and-Drop Transfer in Multi-Surface Environments,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
A constraint-based understanding of design spaces,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Touching dante: a proximity-based paradigm for tabletop browsing,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
The fun.tast.tisch. project: a novel approach to neuro-rehabilitation using an interactive multiuser multitouch tabletop,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
"Youtopia: a collaborative, tangible, multi-touch, sustainability learning activity",2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Branch-explore-merge: facilitating real-time revision control in collaborative visual exploration,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
A collaborative environment for engaging novices in scientific inquiry,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft Surface
Supporting opportunistic search in meetings with tangible tabletop,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
"Gestures as a ""creation"" mechanism for tabletop interfaces",2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Territorial coordination and workspace awareness in remote tabletop collaboration,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Understanding file access mechanisms for embedded Ubicomp collaboration interfaces,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Analysis of natural gestures for controlling robot teams on multi-touch tabletop surfaces,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Attribute gates,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
pOwerball: the design of a novel mixed-reality game for children with mixed abilities,2005,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Analysing Tabletop Based Computer Supported Collaborative Learning Data through Visualization,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Three around a Table: The Facilitator Role in a Co-located Interface for Social Competence Training of Children with Autism Spectrum Disorder,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Is the Writing on the Wall for Tabletops?,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Presenting a Large Urban Area in a Virtual Maquette: An Integrated 3D Model with a ‘Tangible User Interface’,2006,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Under My Finger: Human Factors in Pushing and Rotating Documents Across the Table,2005,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
