title,ano,source,selection_criteria,status,comments,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa,doi
"""Dinner Party"" sociable interfaces in a tabletop art project",2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based",Tangibility,Usuário único,,,10.1145/1963564.1963617
[DEMO] Exploring multimodal interaction techniques for a mixed reality digital surface,2014,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1109/ISMAR.2014.6948476
3D Tabletop User Interface Using Virtual Elastic Objects,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Vision-Based,Gesture,Usuário único,,,10.1145/2669485.2669533
3D Tabletop User Interface with High Synchronization Accuracy using a High-speed Stereo Camera,2015,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,Vision-Based,"Multi-touch, Touch",Usuário único,,,10.1145/2817721.2817724
A 2D-3D integrated tabletop environment for multi-user collaboration,2007,Scopus,Study describing digital tabletop techniques,Accepted,,"Rear-Projected, Front-Projected","Tangible-Tokens, Wearables",Tangibility,Colaboração presencial,,,10.1002/cav.160
A co-located interface for narration to support reconciliation in a conflict: initial results from Jewish and Palestinian youth,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1357054.1357302
A collaborative design graphical tool based on Interactive Spaces and Natural Interfaces: A case study on an international design project,2014,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Tangibility, Touch","Colaboração presencial, Colaboração remota",,55”,10.1109/CSCWD.2014.6846897
A collaborative environment for engaging novices in scientific inquiry,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft Surface,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2396636.2396654
A Collaborative Spatial Decision Support System for the Capacitated Vehicle Routing Problem on a Tabletop Display,2015,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1007/978-3-319-21536-5_3
A Comparative Study on Inter-Device Interaction: One-Handed Interaction VS Two-Handed Interaction,2016,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,"Embedded, Multi-Device","Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Mobile,40”,10.1145/2968220.2968236
A constraint-based understanding of design spaces,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Rear-Projected, Front-Projected",Tangible-Tokens,Tangibility,Colaboração presencial,,,10.1145/2598510.2598533
A Design Model for Tangible Interaction: Case Study in Waste Sorting,2016,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Tangible-Tokens,Tangibility,Colaboração presencial,TangiSense,42.5”,https://doi.org/10.1016/j.ifacol.2016.10.594
A framework for bimanual inter-device interactions,2014,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,https://doi.org/10.1016/j.jvlc.2014.10.002
A Glasses-Based Holographic Tabletop for Collaborative Monitoring of Aerial Missions,2020,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Headset,"Sensor-Assisted-Vision-Based, Vision-Based",Gesture,Usuário único,Microsoft HoloLens,,10.1007/978-3-030-58465-8_26
A large effective touchscreen using a head-mounted projector,2018,Scopus,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Vision-Based",Touch,Usuário único,,,10.3390/info9090235
